field_name,table,data_type,unit,description,source_field,source_file,source_priority,nullable,allowed_values,validation_rules,transformation_rule,derived_or_observed,formula,ML_eligible,target_eligible,leakage_risk,temporal_semantics,current_vs_historical,provenance_requirements
project_id,dim_project,TEXT,Identifier,Canonical unique project identifier (MoSPI/IPMD project code),Project Code / (Project Code),"FlashReport_*.pdf, FRApril2025.pdf, etc.",1 (Official MoSPI Code),NO,"Alphanumeric string (e.g. '612786', 'N24001251')","NOT NULL, UNIQUE, length between 5 and 15","Trimmed, normalized alphanumeric extraction from parentheses",OBSERVED,None,NO,NO,LOW (Key),STATIC,MASTER_ENTITY,Preserved exactly from source parentheses
canonical_project_name,dim_project,TEXT,Text,Official title of the infrastructure project,Project Name,Flash Reports,1,NO,Text string,"NOT NULL, length > 3","Whitespace normalized, title-cased where appropriate",OBSERVED,None,NO,NO,NONE,STATIC,MASTER_ENTITY,Source text block
sector_id,dim_project,INTEGER,Foreign Key,"Identifier referencing dim_sector (e.g. Civil Aviation, Power, Railways)",Sector header,Flash Reports,1,YES,Integer >= 1,FK to dim_sector,Mapped to controlled sector vocabulary,OBSERVED,None,YES,NO,NONE,STATIC,MASTER_ENTITY,Sector section heading
ministry_id,dim_project,INTEGER,Foreign Key,Identifier referencing dim_ministry (Central Line Ministry),Ministry / Department header,Flash Reports,1,YES,Integer >= 1,FK to dim_ministry,Standardized ministry dictionary lookup,OBSERVED,None,YES,NO,NONE,STATIC,MASTER_ENTITY,Ministry section heading
original_cost_cr,dim_project,REAL,INR Crores (₹ Cr),Initial sanctioned cost baseline approved by Cabinet/CCEA,Original Cost / Cost Original,Flash Reports,1,YES,Float >= 150.0 (PAIMANA threshold),Positive numeric >= 0,"Parsed float, stripped commas and units",OBSERVED,None,YES,NO,NONE (Static baseline),STATIC,MASTER_ENTITY,First approved cost cell
reporting_month,fact_project_month,TEXT,YYYY-MM,Canonical reporting period month spine,Document month (e.g. 'JULY 2025'),Flash Reports,1,NO,2025-04 to 2026-07,Valid ISO Year-Month,Normalized to YYYY-MM format,OBSERVED,None,NO (Time spine),NO,HIGH if used as predictor,TEMPORAL_SPINE,HISTORICAL,Source report month
observation_status,fact_project_month,TEXT,Category,Observation existence status in canonical monthly spine,ETL Inferred,ETL Pipeline,1,NO,"OBSERVED, MISSING, NOT_REPORTED, NOT_APPLICABLE",Must be in allowed enum,Determined by presence/absence in monthly report,DERIVED,IF record present THEN OBSERVED ELSE MISSING,NO,NO,NONE,TEMPORAL_STATUS,HISTORICAL,Calendar reconciliation
revised_cost_cr,fact_project_month,REAL,INR Crores (₹ Cr),Latest approved revised cost or anticipated completion cost as of report month,Revised Cost / Anticipated Cost,Flash Reports,1,YES,Float >= 0,Numeric >= 0,Extracted from (Revised Cost) parentheses or {Anticipated},OBSERVED,None,YES (As-of T),YES (At final horizon),CRITICAL (Future values must not enter T),AS_OF_POINT_IN_TIME,HISTORICAL_SNAPSHOT,Source cost cell
cumulative_expenditure_cr,fact_project_month,REAL,INR Crores (₹ Cr),Total cumulative actual expenditure incurred up to reporting period,Cumulative Expenditure,Flash Reports,1,YES,Float >= 0,"expenditure >= 0, expenditure <= 2.5 * revised_cost","Parsed float, stripped commas",OBSERVED,None,YES (As-of T),NO,HIGH if future spent is used,CUMULATIVE_AS_OF_T,HISTORICAL_SNAPSHOT,Expenditure column
physical_progress_pct,fact_project_month,REAL,Percentage (%),Official physical completion progress percentage,Physical Progress (%),Flash Reports,1,YES,0.0 <= x <= 100.0,0.0 <= x <= 100.0,Numeric float between 0 and 100,OBSERVED,None,YES (As-of T),NO,HIGH if future progress is used,DYNAMIC_AS_OF_T,HISTORICAL_SNAPSHOT,Progress column
cost_escalation_cr,gold_project_monthly_metrics,REAL,INR Crores (₹ Cr),Absolute cost escalation over initial sanctioned cost,"revised_cost_cr, original_cost_cr",Computed,Deterministic,YES,Real,escalation = revised - original,Deterministic subtraction,DERIVED,revised_cost_cr - original_cost_cr,YES,NO,NONE at T,DYNAMIC_AS_OF_T,ANALYTICAL_GOLD,Derived from fact_project_month
cost_escalation_pct,gold_project_monthly_metrics,REAL,Percentage (%),Percentage cost growth relative to original sanctioned baseline,"cost_escalation_cr, original_cost_cr",Computed,Deterministic,YES,Real,Safe division (NULL if original_cost <= 0),Safe division by original cost,DERIVED,((revised_cost_cr - original_cost_cr) / original_cost_cr) * 100,YES,NO,NONE at T,DYNAMIC_AS_OF_T,ANALYTICAL_GOLD,Derived from fact_project_month
financial_progress_pct,gold_project_monthly_metrics,REAL,Percentage (%),Percentage of revised cost utilized as cumulative expenditure,"cumulative_expenditure_cr, revised_cost_cr",Computed,Deterministic,YES,0.0 <= x <= 250.0,Safe division by revised_cost_cr,Deterministic safe ratio,DERIVED,(cumulative_expenditure_cr / revised_cost_cr) * 100,YES,NO,NONE at T,DYNAMIC_AS_OF_T,ANALYTICAL_GOLD,Derived from fact_project_month
physical_financial_gap,gold_project_monthly_metrics,REAL,Percentage Points (% pts),Divergence between physical completion and financial fund utilization,"physical_progress_pct, financial_progress_pct",Computed,Deterministic,YES,-100.0 <= x <= 100.0,Difference between progress metrics,Deterministic subtraction,DERIVED,physical_progress_pct - financial_progress_pct,YES,NO,NONE at T,DYNAMIC_AS_OF_T,ANALYTICAL_GOLD,Derived from fact_project_month
progress_velocity_pct_per_month,gold_project_monthly_metrics,REAL,% points / month,Physical progress rate per calendar month accounting for actual elapsed spacing,fact_project_month,Computed,Deterministic Temporal,YES,Real,Safe division by actual elapsed months,Spaced temporal rate,DERIVED,(physical_progress[t] - physical_progress[t_prev]) / actual_elapsed_months,YES,NO,NONE at T,TEMPORAL_RATE_AS_OF_T,ANALYTICAL_GOLD,Sequential fact records
schedule_slippage_months,gold_project_monthly_metrics,REAL,Months,Elapsed delay between revised/anticipated commissioning date and original baseline DoC,"revised_doc, original_doc",Computed,Deterministic,YES,Float >= 0,"Max(0, (revised_doc - original_doc) in months)",Date difference in calendar months,DERIVED,"MAX(0.0, (anticipated_doc_year*12 + anticipated_doc_month) - (orig_doc_year*12 + orig_doc_month))",YES,NO,NONE at T,DYNAMIC_AS_OF_T,ANALYTICAL_GOLD,Commissioning date cells
overall_risk_score,gold_risk_engine_outputs,REAL,Index (0-100),Transparent composite implementation risk score,"cost_risk, schedule_risk, progress_risk",Computed,Deterministic Weighted,NO,0.0 <= x <= 100.0,Weighted sum of sub-scores,Auditable weighted multi-criteria calculation,DERIVED,0.35 * cost_risk + 0.35 * schedule_risk + 0.30 * progress_risk,YES,NO,NONE at T,DYNAMIC_AS_OF_T,ANALYTICAL_GOLD,Risk engine pipeline
risk_band,gold_risk_engine_outputs,TEXT,Category,"Categorical risk classification (Low, Moderate, High, Critical)",overall_risk_score,Computed,Configured Thresholds,NO,"Low, Moderate, High, Critical","Score threshold mapping: [0-25) Low, [25-50) Mod, [50-75) High, [75-100] Critical",Deterministic threshold band mapping,DERIVED,Banding rule based on overall_risk_score,NO,NO,NONE at T,DYNAMIC_AS_OF_T,ANALYTICAL_GOLD,Risk engine pipeline
target_cost_overrun_binary,ml_dataset_master,INTEGER,Binary Flag (0 or 1),"Supervised ML target: 1 if eventual project cost overrun > 5%, else 0",Future fact_project_month cost at completion horizon,Computed Future Target,Target Definition v1.0,YES (NULL if censored),"0, 1, NULL",Must be NULL if is_censored == 1,Threshold evaluation at eventual horizon,DERIVED,IF (final_cost - original_cost)/original_cost > 0.05 THEN 1 ELSE 0,NO (Target),YES,CRITICAL (Future label only),EVENTUAL_FUTURE_OUTCOME,ML_GOLD,Future observation sequence
target_schedule_overrun_binary,ml_dataset_master,INTEGER,Binary Flag (0 or 1),"Supervised ML target: 1 if eventual delay > 3 calendar months, else 0",Future fact_project_month DoC at completion horizon,Computed Future Target,Target Definition v1.0,YES (NULL if censored),"0, 1, NULL",Must be NULL if is_censored == 1,Threshold evaluation at eventual horizon,DERIVED,IF eventual_delay_months > 3.0 THEN 1 ELSE 0,NO (Target),YES,CRITICAL (Future label only),EVENTUAL_FUTURE_OUTCOME,ML_GOLD,Future observation sequence
