source_id,source_name,repository_path,file_type,source_category,data_domain,reporting_period,date_range,row_count,column_count,file_size,encoding,sheet_names,candidate_project_id_fields,candidate_date_fields,candidate_cost_fields,candidate_progress_fields,candidate_status_fields,candidate_sector_fields,candidate_ministry_fields,candidate_state_fields,candidate_agency_fields,candidate_issue_fields,candidate_milestone_fields,external_dataset_indicator,current_vs_historical_indicator,content_hash,notes
SRC_PRI_001,CompleteReviewReportAugust2025.pdf,primary dataset/CompleteReviewReportAugust2025.pdf,pdf,SECTOR_PERFORMANCE,Macro Sectoral Production Benchmarks,AUGUST2025,AUGUST2025,64,6,4979416,binary/pdf,N/A,N/A (Sectoral Aggregate),"Month/Year of review, Cumulative FY",Sectoral capital expenditure / targets,Target achievement percentage,Target achieved / below target,Sector Name,Line Ministry,Regional / National,"Sectoral PSUs (e.g. CIL, NTPC)",Bottlenecks cited in sector notes,Annual & monthly targets,FALSE,HISTORICAL_BENCHMARK,d215c4cb1cd0b9c4250e073414289dcf59158a01fa71449de1315b98faf172ad,"Contains sector-level target vs actual infrastructure achievements (Power, Coal, Steel, etc.)."
SRC_PRI_002,CompleteReviewReportDec2020.pdf,primary dataset/CompleteReviewReportDec2020.pdf,pdf,SECTOR_PERFORMANCE,Macro Sectoral Production Benchmarks,DEC2020,DEC2020,44,6,9189120,binary/pdf,N/A,N/A (Sectoral Aggregate),"Month/Year of review, Cumulative FY",Sectoral capital expenditure / targets,Target achievement percentage,Target achieved / below target,Sector Name,Line Ministry,Regional / National,"Sectoral PSUs (e.g. CIL, NTPC)",Bottlenecks cited in sector notes,Annual & monthly targets,FALSE,HISTORICAL_BENCHMARK,632ce703e074de6120a681692b9733b2ff77b6d871360ac7612aae64b71e4b9d,"Contains sector-level target vs actual infrastructure achievements (Power, Coal, Steel, etc.)."
SRC_PRI_003,CompleteReviewReportDec2023.pdf,primary dataset/CompleteReviewReportDec2023.pdf,pdf,SECTOR_PERFORMANCE,Macro Sectoral Production Benchmarks,DEC2023,DEC2023,49,6,4954555,binary/pdf,N/A,N/A (Sectoral Aggregate),"Month/Year of review, Cumulative FY",Sectoral capital expenditure / targets,Target achievement percentage,Target achieved / below target,Sector Name,Line Ministry,Regional / National,"Sectoral PSUs (e.g. CIL, NTPC)",Bottlenecks cited in sector notes,Annual & monthly targets,FALSE,HISTORICAL_BENCHMARK,8cd18bc8caa37aac5279a9a6b9cb9f5b114dfd337db2fce9d765ed59aec03b0f,"Contains sector-level target vs actual infrastructure achievements (Power, Coal, Steel, etc.)."
SRC_PRI_004,CompleteReviewReportFeb2021.pdf,primary dataset/CompleteReviewReportFeb2021.pdf,pdf,SECTOR_PERFORMANCE,Macro Sectoral Production Benchmarks,FEB2021,FEB2021,44,6,13715859,binary/pdf,N/A,N/A (Sectoral Aggregate),"Month/Year of review, Cumulative FY",Sectoral capital expenditure / targets,Target achievement percentage,Target achieved / below target,Sector Name,Line Ministry,Regional / National,"Sectoral PSUs (e.g. CIL, NTPC)",Bottlenecks cited in sector notes,Annual & monthly targets,FALSE,HISTORICAL_BENCHMARK,6d0aa36fa3ad4e1a93ecc8a0eb60a9a595c06123501389e91a7b82606d9b7cf3,"Contains sector-level target vs actual infrastructure achievements (Power, Coal, Steel, etc.)."
SRC_PRI_005,CompleteReviewReportJan2021.pdf,primary dataset/CompleteReviewReportJan2021.pdf,pdf,SECTOR_PERFORMANCE,Macro Sectoral Production Benchmarks,JAN2021,JAN2021,44,6,10109296,binary/pdf,N/A,N/A (Sectoral Aggregate),"Month/Year of review, Cumulative FY",Sectoral capital expenditure / targets,Target achievement percentage,Target achieved / below target,Sector Name,Line Ministry,Regional / National,"Sectoral PSUs (e.g. CIL, NTPC)",Bottlenecks cited in sector notes,Annual & monthly targets,FALSE,HISTORICAL_BENCHMARK,b79ba2f9a7681ed1095de0f033b18cfe69b73383d4725dfdcfe43b49e4141d2c,"Contains sector-level target vs actual infrastructure achievements (Power, Coal, Steel, etc.)."
SRC_PRI_006,CompleteReviewReportJuly2025.pdf,primary dataset/CompleteReviewReportJuly2025.pdf,pdf,SECTOR_PERFORMANCE,Macro Sectoral Production Benchmarks,JULY2025,JULY2025,56,6,4161773,binary/pdf,N/A,N/A (Sectoral Aggregate),"Month/Year of review, Cumulative FY",Sectoral capital expenditure / targets,Target achievement percentage,Target achieved / below target,Sector Name,Line Ministry,Regional / National,"Sectoral PSUs (e.g. CIL, NTPC)",Bottlenecks cited in sector notes,Annual & monthly targets,FALSE,HISTORICAL_BENCHMARK,0b1f333c3bef2d82b1e5aac2b5c05722110e058f12616a6d9e7051e4b752177b,"Contains sector-level target vs actual infrastructure achievements (Power, Coal, Steel, etc.)."
SRC_PRI_007,CompleteReviewReportJune2025.pdf,primary dataset/CompleteReviewReportJune2025.pdf,pdf,SECTOR_PERFORMANCE,Macro Sectoral Production Benchmarks,JUNE2025,JUNE2025,50,6,4168757,binary/pdf,N/A,N/A (Sectoral Aggregate),"Month/Year of review, Cumulative FY",Sectoral capital expenditure / targets,Target achievement percentage,Target achieved / below target,Sector Name,Line Ministry,Regional / National,"Sectoral PSUs (e.g. CIL, NTPC)",Bottlenecks cited in sector notes,Annual & monthly targets,FALSE,HISTORICAL_BENCHMARK,1006e89776e76096ce749557d1a6b8d8ad05d2297d6807395bba560b991bf6b6,"Contains sector-level target vs actual infrastructure achievements (Power, Coal, Steel, etc.)."
SRC_PRI_008,CompleteReviewReportMarch2025.pdf,primary dataset/CompleteReviewReportMarch2025.pdf,pdf,SECTOR_PERFORMANCE,Macro Sectoral Production Benchmarks,MARCH2025,MARCH2025,47,6,4550305,binary/pdf,N/A,N/A (Sectoral Aggregate),"Month/Year of review, Cumulative FY",Sectoral capital expenditure / targets,Target achievement percentage,Target achieved / below target,Sector Name,Line Ministry,Regional / National,"Sectoral PSUs (e.g. CIL, NTPC)",Bottlenecks cited in sector notes,Annual & monthly targets,FALSE,HISTORICAL_BENCHMARK,eec39ba3b6e0c7d92994e26c788de0a7937cd841e40b3ca7aa48052cdb1b14ab,"Contains sector-level target vs actual infrastructure achievements (Power, Coal, Steel, etc.)."
SRC_PRI_009,FRApril2025.pdf,primary dataset/FRApril2025.pdf,pdf,PROJECT_MONITORING,Infrastructure Project Monitoring,APRIL2025,APRIL2025,273,8,10264807,binary/pdf,N/A,Project Code / (Project Code) / PMGID / Legacy OCMS Code,"Date of Approval, Original DoC, Revised DoC, Anticipated DoC","Original Cost, Revised Cost, Cumulative Expenditure",Physical Progress (%),Inferred from DoC and Progress,Sector / Sub-Sector header,Ministry / Department header,State / Multi-States,Agency / Implementing Agency,Document narrative & delay annotations,Target / Revised DoC milestones,FALSE,CURRENT_SNAPSHOT_SERIES,58049244170b9d8c0588ccf660e79e7b56bfc7e60a333f784e6e08392cf81eef,Contains detailed project-level monitoring records starting at page 18.
SRC_PRI_010,FR_JUNE_2025.pdf,primary dataset/FR_JUNE_2025.pdf,pdf,PROJECT_MONITORING,Infrastructure Project Monitoring,JUNE 2025,JUNE 2025,234,8,14003041,binary/pdf,N/A,Project Code / (Project Code) / PMGID / Legacy OCMS Code,"Date of Approval, Original DoC, Revised DoC, Anticipated DoC","Original Cost, Revised Cost, Cumulative Expenditure",Physical Progress (%),Inferred from DoC and Progress,Sector / Sub-Sector header,Ministry / Department header,State / Multi-States,Agency / Implementing Agency,Document narrative & delay annotations,Target / Revised DoC milestones,FALSE,CURRENT_SNAPSHOT_SERIES,7f37c63abe9f92d8db6513ad68d91b5c172c9c27454f45691f53fff7ebb2a754,Contains detailed project-level monitoring records starting at page 18.
