iter	Passed	Remaining
0	26	7994
1	54	8086
2	77	7671
3	97	7232
4	122	7251
5	147	7213
6	169	7087
7	193	7052
8	221	7147
9	246	7140
10	269	7087
11	290	6961
12	313	6915
13	337	6888
14	362	6878
15	384	6825
16	416	6934
17	448	7022
18	479	7093
19	508	7113
20	535	7120
21	567	7177
22	594	7158
23	615	7075
24	636	7001
25	662	6977
26	686	6942
27	710	6906
28	736	6881
29	759	6839
30	784	6805
31	809	6780
32	838	6785
33	869	6800
34	906	6866
35	943	6920
36	972	6910
37	994	6857
38	1015	6797
39	1040	6760
40	1068	6747
41	1096	6733
42	1125	6728
43	1153	6712
44	1179	6684
45	1204	6650
46	1230	6621
47	1253	6581
48	1279	6553
49	1299	6499
50	1323	6462
51	1347	6424
52	1374	6406
53	1405	6402
54	1430	6371
55	1453	6330
56	1475	6290
57	1500	6258
58	1527	6239
59	1557	6228
60	1587	6221
61	1616	6203
62	1646	6194
63	1677	6184
64	1703	6159
65	1730	6134
66	1757	6112
67	1784	6089
68	1809	6058
69	1833	6025
70	1863	6010
71	1892	5992
72	1920	5972
73	1945	5940
74	1968	5905
75	1992	5873
76	2019	5847
77	2047	5828
78	2075	5807
79	2103	5783
80	2132	5764
81	2166	5760
82	2200	5752
83	2233	5742
84	2261	5719
85	2287	5692
86	2318	5677
87	2341	5641
88	2364	5606
89	2388	5573
90	2410	5536
91	2433	5502
92	2455	5466
93	2477	5430
94	2502	5400
95	2531	5379
96	2560	5358
97	2588	5335
98	2614	5308
99	2641	5283
100	2667	5256
101	2690	5222
102	2712	5188
103	2734	5154
104	2759	5124
105	2783	5093
106	2806	5062
107	2830	5031
108	2853	5000
109	2884	4983
110	2922	4976
111	2949	4951
112	2973	4920
113	2993	4884
114	3016	4852
115	3038	4820
116	3062	4789
117	3084	4757
118	3109	4729
119	3130	4695
120	3151	4662
121	3172	4628
122	3193	4595
123	3215	4564
124	3239	4535
125	3266	4511
126	3295	4489
127	3331	4476
128	3369	4466
129	3392	4436
130	3418	4409
131	3444	4383
132	3470	4357
133	3495	4329
134	3521	4304
135	3543	4273
136	3569	4247
137	3592	4217
138	3613	4185
139	3634	4153
140	3655	4122
141	3676	4090
142	3699	4061
143	3722	4032
144	3744	4002
145	3768	3974
146	3792	3947
147	3824	3927
148	3851	3902
149	3875	3875
150	3898	3846
151	3919	3816
152	3941	3786
153	3963	3757
154	3985	3728
155	4009	3700
156	4032	3673
157	4054	3643
158	4077	3615
159	4101	3588
160	4124	3560
161	4146	3532
162	4168	3503
163	4190	3475
164	4213	3447
165	4237	3420
166	4264	3396
167	4292	3372
168	4324	3352
169	4349	3326
170	4374	3300
171	4397	3272
172	4419	3244
173	4444	3218
174	4468	3191
175	4492	3165
176	4513	3136
177	4537	3109
178	4561	3083
179	4586	3057
180	4608	3030
181	4633	3004
182	4657	2977
183	4678	2949
184	4700	2921
185	4724	2895
186	4755	2873
187	4782	2849
188	4807	2823
189	4829	2796
190	4852	2768
191	4870	2739
192	4889	2710
193	4912	2684
194	4934	2657
195	4961	2632
196	4984	2606
197	5008	2580
198	5030	2553
199	5051	2525
200	5072	2498
201	5094	2471
202	5111	2442
203	5132	2415
204	5155	2389
205	5180	2364
206	5208	2340
207	5240	2318
208	5268	2293
209	5291	2267
210	5316	2242
211	5338	2215
212	5359	2189
213	5381	2162
214	5398	2134
215	5421	2108
216	5443	2081
217	5465	2055
218	5490	2030
219	5514	2005
220	5537	1979
221	5561	1953
222	5582	1927
223	5605	1901
224	5629	1876
225	5653	1851
226	5677	1825
227	5708	1802
228	5731	1777
229	5757	1752
230	5782	1727
231	5806	1701
232	5830	1676
233	5854	1651
234	5878	1625
235	5901	1600
236	5926	1575
237	5951	1550
238	5974	1524
239	5999	1499
240	6023	1474
241	6044	1448
242	6066	1422
243	6087	1397
244	6108	1371
245	6133	1346
246	6157	1321
247	6185	1296
248	6221	1274
249	6250	1250
250	6275	1225
251	6296	1199
252	6317	1173
253	6342	1148
254	6367	1123
255	6393	1098
256	6421	1074
257	6450	1050
258	6476	1025
259	6506	1000
260	6530	975
261	6552	950
262	6574	924
263	6597	899
264	6622	874
265	6646	849
266	6678	825
267	6701	800
268	6723	774
269	6749	749
270	6773	724
271	6795	699
272	6816	674
273	6842	649
274	6868	624
275	6890	599
276	6911	573
277	6932	548
278	6957	523
279	6979	498
280	7001	473
281	7025	448
282	7049	423
283	7074	398
284	7100	373
285	7135	349
286	7178	325
287	7209	300
288	7230	275
289	7257	250
290	7280	225
291	7301	200
292	7324	174
293	7345	149
294	7373	124
295	7400	100
296	7425	75
297	7452	50
298	7475	25
299	7497	0
