project_id,snapshot_month,dataset_split,sector_name,ministry_name,agency_name,state_name,time_elapsed_pct,cost_escalation_pct,expenditure_pct,physical_progress_pct,physical_financial_gap,progress_deviation,progress_velocity,schedule_slippage_months,overall_risk_score,active_warnings_count,target_cost_overrun_binary
060100093,2025-04,train,Civil Aviation,Ministry of Civil Aviation,SECL,Unknown,116.34,0.0,0.65,77.0,76.35,-23.0,,36.0,52.5,2,0.0
060100093,2025-05,train,Civil Aviation,Ministry of Civil Aviation,SECL,Unknown,116.99,,55.82,77.2,21.38,-22.8,0.2,36.0,52.5,2,0.0
060100093,2025-06,train,Civil Aviation,Ministry of Civil Aviation,SECL,Unknown,117.65,,56.0,77.2,21.2,-22.8,0.0,36.0,63.0,4,0.0
180100210,2025-04,train,Civil Aviation,Ministry of Civil Aviation,NHPC,Unknown,322.62,232.82,0.77,100.0,99.23,0.0,,187.0,70.0,4,0.0
180100210,2025-05,train,Civil Aviation,Ministry of Civil Aviation,NHPC,Unknown,,0.0,327.4,7.0,-320.4,,-93.0,,15.0,2,0.0
180100210,2025-06,train,Civil Aviation,Ministry of Civil Aviation,NHPC,Unknown,,0.0,327.4,20.0,-307.4,,13.0,,15.0,2,0.0
180100221,2025-04,train,Civil Aviation,Ministry of Civil Aviation,NHPC,Unknown,308.33,314.86,0.37,3.0,2.63,-97.0,,188.0,70.0,4,1.0
180100221,2025-05,train,Civil Aviation,Ministry of Civil Aviation,NHPC,Unknown,309.52,314.86,0.37,3.0,2.63,-97.0,0.0,188.0,80.5,6,1.0
180100221,2025-06,train,Civil Aviation,Ministry of Civil Aviation,NHPC,Unknown,310.71,314.86,0.37,3.0,2.63,-97.0,0.0,188.0,80.5,6,1.0
180100242,2025-04,train,Civil Aviation,Ministry of Civil Aviation,NTPC,Unknown,302.5,145.16,104.59,95.0,-9.59,-5.0,,161.0,70.0,4,0.0
180100242,2025-05,train,Civil Aviation,Ministry of Civil Aviation,NTPC,Unknown,303.75,,245.16,100.0,-145.16,0.0,5.0,161.0,50.0,4,0.0
180100242,2025-06,train,Civil Aviation,Ministry of Civil Aviation,NTPC,Unknown,305.0,,245.16,100.0,-145.16,0.0,0.0,161.0,60.5,6,0.0
220100133,2025-04,train,Civil Aviation,Ministry of Civil Aviation,NR,Unknown,102.27,0.0,114.36,100.0,-14.36,0.0,,4.0,10.66,0,0.0
220100133,2025-05,train,Civil Aviation,Ministry of Civil Aviation,NR,Unknown,,0.0,114.37,8.0,-106.37,,-92.0,,15.0,2,0.0
220100133,2025-06,train,Civil Aviation,Ministry of Civil Aviation,NR,Unknown,,0.0,114.37,24.0,-90.37,,16.0,,15.0,2,0.0
220100181,2025-04,train,Civil Aviation,Ministry of Civil Aviation,CR,Unknown,96.85,95.24,1.9,100.0,98.1,3.15,,0.0,35.0,2,1.0
220100181,2025-05,train,Civil Aviation,Ministry of Civil Aviation,CR,Unknown,97.13,95.24,1.96,100.0,98.04,2.87,0.0,0.0,45.5,4,1.0
220100181,2025-06,train,Civil Aviation,Ministry of Civil Aviation,CR,Unknown,97.42,95.24,1.96,100.0,98.04,2.58,0.0,0.0,45.5,4,1.0
220100188,2025-04,train,Civil Aviation,Ministry of Civil Aviation,NR,Unknown,98.51,-70.12,261.86,75.0,-186.86,-23.51,,18.0,43.77,4,0.0
220100188,2025-05,train,Civil Aviation,Ministry of Civil Aviation,NR,Unknown,98.7,,100.0,100.0,0.0,1.3,25.0,18.0,18.9,2,0.0
220100188,2025-06,train,Civil Aviation,Ministry of Civil Aviation,NR,Unknown,98.88,,100.0,100.0,0.0,1.12,0.0,18.0,29.4,4,0.0
220100232,2025-04,train,Civil Aviation,Ministry of Civil Aviation,WCR,Unknown,93.27,-99.29,3964.2,43.0,-3921.2,-50.27,,0.0,36.11,2,0.0
220100232,2025-05,train,Civil Aviation,Ministry of Civil Aviation,WCR,Unknown,93.57,-99.29,3933.21,43.0,-3890.21,-50.57,0.0,0.0,46.74,4,0.0
220100232,2025-06,train,Civil Aviation,Ministry of Civil Aviation,WCR,Unknown,93.86,-99.29,3933.21,43.0,-3890.21,-50.86,0.0,0.0,46.86,4,0.0
220100257,2025-04,train,Civil Aviation,Ministry of Civil Aviation,ECR,Unknown,101.2,0.0,77.23,52.0,-25.23,-48.0,,27.0,48.8,4,0.0
220100257,2025-05,train,Civil Aviation,Ministry of Civil Aviation,ECR,Unknown,101.51,0.0,78.66,52.0,-26.66,-48.0,0.0,27.0,59.79,6,0.0
220100257,2025-06,train,Civil Aviation,Ministry of Civil Aviation,ECR,Unknown,101.81,0.0,78.7,52.0,-26.7,-48.0,0.0,27.0,59.81,6,0.0
220100272,2025-04,train,Civil Aviation,Ministry of Civil Aviation,ER,Unknown,132.16,117.21,2.9,100.0,97.1,0.0,,83.0,70.0,4,0.0
220100272,2025-05,train,Civil Aviation,Ministry of Civil Aviation,ER,Unknown,132.6,,106.36,75.0,-31.36,-25.0,-25.0,83.0,59.61,6,0.0
220100272,2025-06,train,Civil Aviation,Ministry of Civil Aviation,ER,Unknown,133.04,,108.0,75.0,-33.0,-25.0,0.0,83.0,60.35,6,0.0
220100284,2025-04,train,Civil Aviation,Ministry of Civil Aviation,ECOR,Unknown,94.9,6.81,123.71,84.0,-39.71,-10.9,,0.0,23.15,4,0.0
220100284,2025-05,train,Civil Aviation,Ministry of Civil Aviation,ECOR,Unknown,95.15,,143.36,100.0,-43.36,4.85,16.0,0.0,15.0,2,0.0
220100284,2025-06,train,Civil Aviation,Ministry of Civil Aviation,ECOR,Unknown,95.41,,143.36,100.0,-43.36,4.59,0.0,0.0,25.5,4,0.0
220100288,2025-04,train,Civil Aviation,Ministry of Civil Aviation,NFR,Unknown,92.96,-14.3,124.37,68.7,-55.67,-24.26,,15.0,40.94,4,0.0
220100288,2025-05,train,Civil Aviation,Ministry of Civil Aviation,NFR,Unknown,93.31,,155.24,100.0,-55.24,6.69,31.3,15.0,30.75,4,0.0
220100288,2025-06,train,Civil Aviation,Ministry of Civil Aviation,NFR,Unknown,93.66,,155.24,100.0,-55.24,6.34,0.0,15.0,41.25,6,0.0
220100303,2025-04,train,Civil Aviation,Ministry of Civil Aviation,ECR,Unknown,188.57,1.0,109.93,73.0,-36.93,-27.0,,144.0,50.52,4,0.0
220100303,2025-05,train,Civil Aviation,Ministry of Civil Aviation,ECR,Unknown,189.29,1.0,111.86,73.0,-38.86,-27.0,0.0,144.0,61.02,6,0.0
220100303,2025-06,train,Civil Aviation,Ministry of Civil Aviation,ECR,Unknown,190.0,1.0,117.59,73.0,-44.59,-27.0,0.0,144.0,61.02,6,0.0
220100305,2025-04,train,Civil Aviation,Ministry of Civil Aviation,ECR,Unknown,109.96,0.0,123.07,80.0,-43.07,-20.0,,33.0,50.0,4,0.0
220100305,2025-05,train,Civil Aviation,Ministry of Civil Aviation,ECR,Unknown,110.36,0.0,123.85,80.0,-43.85,-20.0,0.0,33.0,60.5,6,0.0
220100305,2025-06,train,Civil Aviation,Ministry of Civil Aviation,ECR,Unknown,110.76,0.0,125.44,80.0,-45.44,-20.0,0.0,33.0,60.5,6,0.0
220100314,2025-04,train,Civil Aviation,Ministry of Civil Aviation,WCR,Unknown,97.3,0.02,112.91,69.0,-43.91,-28.3,,6.0,33.2,4,0.0
220100314,2025-05,train,Civil Aviation,Ministry of Civil Aviation,WCR,Unknown,97.64,,169.04,100.0,-69.04,2.36,31.0,6.0,21.3,4,0.0
220100314,2025-06,train,Civil Aviation,Ministry of Civil Aviation,WCR,Unknown,97.97,,169.04,100.0,-69.04,2.03,0.0,6.0,31.8,6,0.0
220100328,2025-04,train,Civil Aviation,Ministry of Civil Aviation,ECOR,Unknown,100.42,0.0,2.07,100.0,97.93,0.0,,12.0,30.1,2,0.0
