project_id,snapshot_month,dataset_split,time_elapsed_pct,time_remaining_pct,cost_escalation_pct,cost_growth_factor,expenditure_pct,physical_progress_pct,financial_progress_pct,physical_financial_gap,progress_deviation,progress_velocity,expenditure_velocity,progress_3m_delta,schedule_slippage_months,overall_risk_score,active_warnings_count,sector_name,ministry_name,agency_name,state_name,target_cost_overrun_binary,target_final_cost_cr,target_cost_overrun_amount_cr,target_cost_overrun_pct,target_schedule_overrun_binary,target_delay_months,is_censored,target_observation_month,feature_version,target_version,leakage_check_passed
060100093,2025-04,train,116.34,-16.34,0.0,1.0,0.65,77.0,0.65,76.35,-23.0,,,,36.0,52.5,2,Civil Aviation,Ministry of Civil Aviation,SECL,Unknown,0.0,11816.4,0.0,0.0,1.0,36.0,0,2025-06,v1.0,v1.0,1
060100093,2025-05,train,116.99,-16.99,,,55.82,77.2,55.82,21.38,-22.8,0.2,6519.05,,36.0,52.5,2,Civil Aviation,Ministry of Civil Aviation,SECL,Unknown,0.0,11816.4,0.0,0.0,1.0,36.0,0,2025-06,v1.0,v1.0,1
060100093,2025-06,train,117.65,-17.65,,,56.0,77.2,56.0,21.2,-22.8,0.0,20.79,,36.0,63.0,4,Civil Aviation,Ministry of Civil Aviation,SECL,Unknown,0.0,11816.4,0.0,0.0,1.0,36.0,0,2025-06,v1.0,v1.0,1
108841,2026-06,test,58.62,41.38,0.0,1.0,11.63,0.0,11.63,-11.63,-58.62,,,,0.0,47.35,0,Telecommunications,Department of Telecommunications,Department of Telecommunications,,,,,,,,1,2026-07,v1.0,v1.0,1
108841,2026-07,test,60.34,39.66,0.0,1.0,11.63,8.15,11.63,-3.48,-52.19,8.15,0.0,,0.0,39.42,0,Telecommunications,Department of Telecommunications,Department of Telecommunications,,,,,,,,1,2026-07,v1.0,v1.0,1
124199,2026-07,test,52.24,47.76,0.0,1.0,10.0,0.0,10.0,-10.0,-52.24,,,,0.0,35.12,0,Telecommunications,Department of Telecommunications,Department of Telecommunications,Unknown,,,,,,,1,2026-07,v1.0,v1.0,1
171218,2026-07,test,64.81,35.19,0.0,1.0,0.0,26.58,0.0,26.58,-38.23,,,,0.0,33.56,0,Telecommunications,Department of Telecommunications,Department of Telecommunications,Unknown,,,,,,,1,2026-07,v1.0,v1.0,1
175860,2026-07,test,62.71,37.29,0.0,1.0,11.37,8.4,11.37,-2.97,-54.31,,,,0.0,40.31,0,Telecommunications,Department of Telecommunications,Department of Telecommunications,Unknown,,,,,,,1,2026-07,v1.0,v1.0,1
180100210,2025-04,train,322.62,-222.62,232.82,3.328,0.77,100.0,0.77,99.23,0.0,,,,187.0,70.0,4,Civil Aviation,Ministry of Civil Aviation,NHPC,Unknown,0.0,3919.59,0.0,0.0,0.0,,0,2025-06,v1.0,v1.0,1
180100210,2025-05,train,,,0.0,1.0,327.4,7.0,327.4,-320.4,,-93.0,12732.59,,,15.0,2,Civil Aviation,Ministry of Civil Aviation,NHPC,Unknown,0.0,3919.59,0.0,0.0,0.0,,0,2025-06,v1.0,v1.0,1
180100210,2025-06,train,,,0.0,1.0,327.4,20.0,327.4,-307.4,,13.0,0.0,,,15.0,2,Civil Aviation,Ministry of Civil Aviation,NHPC,Unknown,0.0,3919.59,0.0,0.0,0.0,,0,2025-06,v1.0,v1.0,1
180100221,2025-04,train,308.33,-208.33,314.86,4.149,0.37,3.0,0.37,2.63,-97.0,,,,188.0,70.0,4,Civil Aviation,Ministry of Civil Aviation,NHPC,Unknown,1.0,26075.54,19790.21,314.86,1.0,188.0,0,2025-06,v1.0,v1.0,1
180100221,2025-05,train,309.52,-209.52,314.86,4.149,0.37,3.0,0.37,2.63,-97.0,0.0,0.29,,188.0,80.5,6,Civil Aviation,Ministry of Civil Aviation,NHPC,Unknown,1.0,26075.54,19790.21,314.86,1.0,188.0,0,2025-06,v1.0,v1.0,1
180100221,2025-06,train,310.71,-210.71,314.86,4.149,0.37,3.0,0.37,2.63,-97.0,0.0,0.11,,188.0,80.5,6,Civil Aviation,Ministry of Civil Aviation,NHPC,Unknown,1.0,26075.54,19790.21,314.86,1.0,188.0,0,2025-06,v1.0,v1.0,1
180100242,2025-04,train,302.5,-202.5,145.16,2.452,104.59,95.0,104.59,-9.59,-5.0,,,,161.0,70.0,4,Civil Aviation,Ministry of Civil Aviation,NTPC,Unknown,0.0,8692.97,0.0,0.0,1.0,161.0,0,2025-06,v1.0,v1.0,1
180100242,2025-05,train,303.75,-203.75,,,245.16,100.0,245.16,-145.16,0.0,5.0,-978.03,,161.0,50.0,4,Civil Aviation,Ministry of Civil Aviation,NTPC,Unknown,0.0,8692.97,0.0,0.0,1.0,161.0,0,2025-06,v1.0,v1.0,1
180100242,2025-06,train,305.0,-205.0,,,245.16,100.0,245.16,-145.16,0.0,0.0,0.0,,161.0,60.5,6,Civil Aviation,Ministry of Civil Aviation,NTPC,Unknown,0.0,8692.97,0.0,0.0,1.0,161.0,0,2025-06,v1.0,v1.0,1
210914,2026-07,test,64.81,35.19,0.0,1.0,13.35,15.13,13.35,1.78,-49.68,,,,0.0,38.37,0,Telecommunications,Department of Telecommunications,Department of Telecommunications,Unknown,,,,,,,1,2026-07,v1.0,v1.0,1
220100133,2025-04,train,102.27,-2.27,0.0,1.0,114.36,100.0,114.36,-14.36,0.0,,,,4.0,10.66,0,Civil Aviation,Ministry of Civil Aviation,NR,Unknown,0.0,37012.0,0.0,0.0,0.0,,0,2025-06,v1.0,v1.0,1
220100133,2025-05,train,,,0.0,1.0,114.37,8.0,114.37,-106.37,,-92.0,0.0,,,15.0,2,Civil Aviation,Ministry of Civil Aviation,NR,Unknown,0.0,37012.0,0.0,0.0,0.0,,0,2025-06,v1.0,v1.0,1
220100133,2025-06,train,,,0.0,1.0,114.37,24.0,114.37,-90.37,,16.0,0.0,,,15.0,2,Civil Aviation,Ministry of Civil Aviation,NR,Unknown,0.0,37012.0,0.0,0.0,0.0,,0,2025-06,v1.0,v1.0,1
220100181,2025-04,train,96.85,3.15,95.24,1.952,1.9,100.0,1.9,98.1,3.15,,,,0.0,35.0,2,Civil Aviation,Ministry of Civil Aviation,CR,Unknown,1.0,4957.27,2418.27,95.24,0.0,0.0,0,2025-06,v1.0,v1.0,1
220100181,2025-05,train,97.13,2.87,95.24,1.952,1.96,100.0,1.96,98.04,2.87,0.0,3.0,,0.0,45.5,4,Civil Aviation,Ministry of Civil Aviation,CR,Unknown,1.0,4957.27,2418.27,95.24,0.0,0.0,0,2025-06,v1.0,v1.0,1
220100181,2025-06,train,97.42,2.58,95.24,1.952,1.96,100.0,1.96,98.04,2.58,0.0,0.0,,0.0,45.5,4,Civil Aviation,Ministry of Civil Aviation,CR,Unknown,1.0,4957.27,2418.27,95.24,0.0,0.0,0,2025-06,v1.0,v1.0,1
220100188,2025-04,train,98.51,1.49,-70.12,0.299,261.86,75.0,261.86,-186.86,-23.51,,,,18.0,43.77,4,Civil Aviation,Ministry of Civil Aviation,NR,Unknown,0.0,2018.0,0.0,0.0,1.0,18.0,0,2025-06,v1.0,v1.0,1
220100188,2025-05,train,98.7,1.3,,,100.0,100.0,100.0,0.0,1.3,25.0,438.92,,18.0,18.9,2,Civil Aviation,Ministry of Civil Aviation,NR,Unknown,0.0,2018.0,0.0,0.0,1.0,18.0,0,2025-06,v1.0,v1.0,1
220100188,2025-06,train,98.88,1.12,,,100.0,100.0,100.0,0.0,1.12,0.0,0.0,,18.0,29.4,4,Civil Aviation,Ministry of Civil Aviation,NR,Unknown,0.0,2018.0,0.0,0.0,1.0,18.0,0,2025-06,v1.0,v1.0,1
220100232,2025-04,train,93.27,6.73,-99.29,0.007,3964.2,43.0,3964.2,-3921.2,-50.27,,,,0.0,36.11,2,Civil Aviation,Ministry of Civil Aviation,WCR,Unknown,0.0,63.57,-8850.37,-99.29,0.0,0.0,0,2025-06,v1.0,v1.0,1
220100232,2025-05,train,93.57,6.43,-99.29,0.007,3933.21,43.0,3933.21,-3890.21,-50.57,0.0,-19.7,,0.0,46.74,4,Civil Aviation,Ministry of Civil Aviation,WCR,Unknown,0.0,63.57,-8850.37,-99.29,0.0,0.0,0,2025-06,v1.0,v1.0,1
220100232,2025-06,train,93.86,6.14,-99.29,0.007,3933.21,43.0,3933.21,-3890.21,-50.86,0.0,0.0,,0.0,46.86,4,Civil Aviation,Ministry of Civil Aviation,WCR,Unknown,0.0,63.57,-8850.37,-99.29,0.0,0.0,0,2025-06,v1.0,v1.0,1
220100257,2025-04,train,101.2,-1.2,0.0,1.0,77.23,52.0,77.23,-25.23,-48.0,,,,27.0,48.8,4,Civil Aviation,Ministry of Civil Aviation,ECR,Unknown,0.0,614.45,0.0,0.0,1.0,27.0,0,2025-06,v1.0,v1.0,1
220100257,2025-05,train,101.51,-1.51,0.0,1.0,78.66,52.0,78.66,-26.66,-48.0,0.0,8.78,,27.0,59.79,6,Civil Aviation,Ministry of Civil Aviation,ECR,Unknown,0.0,614.45,0.0,0.0,1.0,27.0,0,2025-06,v1.0,v1.0,1
220100257,2025-06,train,101.81,-1.81,0.0,1.0,78.7,52.0,78.7,-26.7,-48.0,0.0,0.22,,27.0,59.81,6,Civil Aviation,Ministry of Civil Aviation,ECR,Unknown,0.0,614.45,0.0,0.0,1.0,27.0,0,2025-06,v1.0,v1.0,1
220100265,2025-04,train,88.89,11.11,0.0,1.0,0.72,28.0,0.72,27.28,-60.89,,,,0.0,43.07,0,Civil Aviation,Ministry of Civil Aviation,SCR,Unknown,,,,,,,1,2025-06,v1.0,v1.0,1
220100265,2025-05,train,89.21,10.79,0.0,1.0,0.72,28.0,0.72,27.28,-61.21,0.0,0.0,,0.0,53.71,2,Civil Aviation,Ministry of Civil Aviation,SCR,Unknown,,,,,,,1,2025-06,v1.0,v1.0,1
220100265,2025-06,train,89.52,10.48,0.0,1.0,0.72,27.0,0.72,26.28,-62.52,-1.0,0.0,,0.0,54.26,2,Civil Aviation,Ministry of Civil Aviation,SCR,Unknown,,,,,,,1,2025-06,v1.0,v1.0,1
220100272,2025-04,train,132.16,-32.16,117.21,2.172,2.9,100.0,2.9,97.1,0.0,,,,83.0,70.0,4,Civil Aviation,Ministry of Civil Aviation,ER,Unknown,0.0,1188.91,0.0,0.0,1.0,83.0,0,2025-06,v1.0,v1.0,1
220100272,2025-05,train,132.6,-32.6,,,106.36,75.0,106.36,-31.36,-25.0,-25.0,1189.53,,83.0,59.61,6,Civil Aviation,Ministry of Civil Aviation,ER,Unknown,0.0,1188.91,0.0,0.0,1.0,83.0,0,2025-06,v1.0,v1.0,1
220100272,2025-06,train,133.04,-33.04,,,108.0,75.0,108.0,-33.0,-25.0,0.0,19.45,,83.0,60.35,6,Civil Aviation,Ministry of Civil Aviation,ER,Unknown,0.0,1188.91,0.0,0.0,1.0,83.0,0,2025-06,v1.0,v1.0,1
220100284,2025-04,train,94.9,5.1,6.81,1.068,123.71,84.0,123.71,-39.71,-10.9,,,,0.0,23.15,4,Civil Aviation,Ministry of Civil Aviation,ECOR,Unknown,0.0,3550.0,0.0,0.0,0.0,0.0,0,2025-06,v1.0,v1.0,1
